LAB_ID,PREVIOUS_LAB_ID1,PREVIOUS_LAB_ID2,PREVIOUS_LAB_ID3,FIELD_ID,JOB_ID,PREVIOUS_JOB_ID1,PREVIOUS_JOB_ID2,PREVIOUS_JOB_ID3,SUBMITTER,PROJECT_NAME,DATE_SUBMITTED,COLLECTION,COLLECTION_ID,CONTINENT,COUNTRY,STATE_PROVINCE,COUNTY,DISTRICT_NAME,DEPOSIT_NAME,MINE_NAME,DISTRICT_NAME_COLLECT,DEPOSIT_NAME_COLLECT,MINE_NAME_COLLECT,LOCATE_DESC,LATITUDE,LONGITUDE,DATUM,LATITUDE_COLLECT,LONGITUDE_COLLECT,DATUM_COLLECT,COORDINATES_QUAL,COORDINATES_SOURCE,PRIMARY_CLASS,SYSTEM_TYPE,DEPOSIT_TYPE,SAMPLE_DESC,Al_pct_AES_ST,Ca_pct_AES_ST,Fe_pct_AES_ST,K_pct_AES_ST,Mg_pct_AES_ST,Mn_pct_AES_ST,P_pct_AES_ST,S_pct_AES_ST,Si_pct_AES_ST,Ti_pct_AES_ST,F_pct_ISE_Fuse,Ag_ppm_MS_ST,As_ppm_MS_ST,Au_ppm,Au_AM,B_ppm_AES_ST,Ba_ppm_AES_ST,Be_ppm_AES_ST,Bi_ppm_MS_ST,Cd_ppm_MS_ST,Ce_ppm_MS_ST,Co_ppm_MS_ST,Cr_ppm_AES_ST,Cs_ppm_MS_ST,Cu_ppm_AES_ST,Dy_ppm_MS_ST,Er_ppm_MS_ST,Eu_ppm_MS_ST,Ga_ppm_MS_ST,Gd_ppm_MS_ST,Ge_ppm_MS_ST,Hf_ppm_MS_ST,Ho_ppm_MS_ST,In_ppm_MS_ST,La_ppm_MS_ST,Li_ppm_AES_ST,Lu_ppm_MS_ST,Mo_ppm_MS_ST,Nb_ppm_MS_ST,Nd_ppm_MS_ST,Ni_ppm_AES_ST,Pb_ppm_MS_ST,Pd_ppm_FA_MS,Pr_ppm_MS_ST,Pt_ppm_FA_MS,Rb_ppm_MS_ST,Re_ppm_MS_HF,Sb_ppm_MS_ST,Sc_ppm_AES_ST,Se_ppm_MS_ST,Sm_ppm_MS_ST,Sn_ppm_MS_ST,Sr_ppm_AES_ST,Ta_ppm_MS_ST,Tb_ppm_MS_ST,Te_ppm_MS_ST,Th_ppm_MS_ST,Tl_ppm_MS_ST,Tm_ppm_MS_ST,U_ppm_MS_ST,V_ppm_AES_ST,W_ppm_MS_ST,Y_ppm_MS_ST,Yb_ppm_MS_ST,Zn_ppm_AES_ST,Zr_ppm_AES_ST
C400674,C380043,,,RM0662,MRP14721,MRP13528,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Colorado School of Mines Ransome Collection,PA08,North America,United States,Arizona,Cochise,Pearce,,Commonwealth mine,Pearce,Commonwealth,Commonwealth mine,Hanging wall streak,31.90073,-109.81625,WGS84,31.9,-109.81,,100 m,"1) Colorado School of Mines collection; 2) Mineral Resource Deposit Database Deposit ID 10232286, mine entrance, M. Granitto",rock,Porphyry Cu-Mo-Au,"Epithermal vein, Comstock","Hanging Wall Streak; 2000 oz Ag, 20 oz Au; extremely vuggy iron stained quartz with native gold (microscopic), and microscopic crystals of an unidentified silver mineral; sulfide approx 1%; under the scope, there appears to be two silver minerals, one of them looks like bromargyrite, the other is unidentified; native Ag has been identified",0.24,0.1,1.52,0.1,0.02,-0.01,0.05,,,-0.01,,5840.0,200.0,716.0,MS_AZ_HF,,21.2,-5.0,-0.1,3.0,0.8,-0.5,30.0,1.9,35.0,0.13,0.08,-0.05,2.0,0.17,2.0,-1.0,-0.05,-0.2,0.8,230.0,-0.05,20.0,-1.0,0.6,10.0,1140.0,,0.18,,9.4,,150.0,-5.0,,0.5,3.0,21.4,-0.5,-0.05,,0.1,-0.5,-0.05,0.22,7.0,-1.0,0.8,-0.1,344.0,3.5
C400675,C381143,,,RM0811,MRP14721,MRP13593,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Colorado School of Mines Ransome Collection,PA07,North America,United States,Arizona,Cochise,Pearce,,Commonwealth mine,Pearce,Commonwealth,Commonwealth mine,Discovery stope,31.90073,-109.81625,WGS84,31.9,-109.81,,100 m,"1) Colorado School of Mines collection; 2) Mineral Resource Deposit Database Deposit ID 10232286, mine entrance, M. Granitto",rock,Porphyry Cu-Mo-Au,"Epithermal vein, Comstock","Ore $125/ton.; a glued sample; rock is mostly quartz with thinly scattered vugs, some containing iron oxide staining",0.36,0.1,0.37,-0.1,0.02,-0.01,0.04,,,-0.01,,10000.11111,610.0,34.0,MS_AZ_HF,,57.4,-5.0,2.3,6.0,144.0,10.4,40.0,27.1,257.0,11.5,4.86,2.64,39.0,15.3,19.0,1.0,2.06,-0.2,146.0,290.0,0.69,127.0,4.0,89.6,29.0,10000.0,,22.6,,75.2,,983.0,-5.0,,15.4,78.0,26.7,0.6,1.87,,2.0,1.0,0.78,4.8,6.0,13.0,82.1,4.0,420.0,30.5
C400679,,,,RM0853,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD44528,Asia,Japan,Miyazaki,,,,Makimine mine,,,Makimine mine,"No. 10 ore body, adit level",32.63,131.45806,WGS84,32.63,131.45833,WGS84,,"1) Mindat.org, approx, A. Orkild-Norton; 2) https://www.mindat.org/feature-1857741.html, minesite, M. Granitto",rock,Volcanogenic seafloor,"Cu-Zn massive sulfide, Besshi-type","Chalcopyrite and pyrrhotite; Higa tuff; finely disseminated tiny chalcopyrite grains in with areas of pyrrhotite in quartz and Ca, Fe-silicate rock; about 40% total sulfide",,,,,,,,,,,,,,-1.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400680,,,,RM0854,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD26399,Asia,Philippines,Samar island,,,,Bacagay mine,,,Bacagay mine,May be Samar Island between Taft and Paranas,11.7804,125.159,,11.7804,125.159,,,"1) Mineral-resources.FindTheData.org, approx, A. Orkild-Norton",rock,Volcanogenic seafloor,"Massive sulfide, Kuroko-type(?), supergene","""Bog"" Cu ore, chalcocite-malachite; 100% massive chalcocite with malachite staining",,,,,,,,,,,,,,-1.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400681,,,,RM0855,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD30395,Oceania,Australia,New South Wales,,,,New South Wales (Cobar?),,,New South Wales (Cobar?),AUS NSW 40 (same # as 30398),-31.5,145.84047,WGS84,-31.5,145.84047,WGS84,,"1) No coordinates; 2) Mindat.org, specific loc ""New Cobar mine"", A. Orkild-Norton; ditto, M. Granitto",rock,Porphyry Cu-Mo-Au(?),Cu-Au vein,"Chalcopyrite in rock; fine grain widely disseminated chalcopyrite and pyrite in fine grain massive sphalerite, some arsenopyrite; total sulfide about 90%",,,,,,,,,,,,,,2.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400682,,,,RM0857,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD30387,Oceania,Australia,New South Wales,,Central Area,,Great Cobar mine,,,Great Cobar mine,AUS NSW 30,-31.52961,145.84865,WGS84,-31.5,145.84047,WGS84,,"1) Mindat.org, approx, A. Orkild-Norton, 2) M. Granitto; Mineral Resource Deposit Database Deposit ID 10073046, minesite, M. Granitto",rock,Porphyry Cu-Mo-Au(?),Cu-Au vein,"Cu ore, chalcopyrite in rock; 50% fine grain massive chalcopyrite in 50% slate rock and quartz",,,,,,,,,,,,,,1.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400683,,,,RM0859,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD25829,Asia,Japan,,,,,Nippei mine,,,Nippei mine,Shikoku Island,,,,,,,,No coordinates,rock,Porphyry Cu-Mo-Au,Skarn Cu,"Massive chalcopyrite; 100% massive chalcopyrite (very fine grained), with numerous fine, thread-like veinlets of quartz",,,,,,,,,,,,,,2.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400684,,,,RM0860,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD44530,Asia,Japan,Miyazaki,,,,Makimine mine,,,Makimine mine,,32.63,131.45806,WGS84,32.63,131.45833,WGS84,,"1) Mindat.org, approx, A. Orkild-Norton; 2) https://www.mindat.org/feature-1857741.html, minesite, M. Granitto",rock,Volcanogenic seafloor,"Cu-Zn massive sulfide, Besshi-type","Cu and pyrite ore ; greater than 95% intimate mixture, fine grain chalcopyrite and pyrite, very solid massive",,,,,,,,,,,,,,1.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C400685,C377782,,,RM0862,MRP14721,MRP13391,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD41472,North America,Canada,Ontario,,Sudbury,,Levack mine,Sudbury,,Levack mine,3400 level 53 stope,46.65193,-81.37757,WGS84,46.65111,-81.37778,WGS84,300 m,"1) Mindat.org, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10024588, minesite, M. Granitto",rock,Mafic magmatic,Impact-related Cu-Ni-PGE,"Massive sulfide with abundant magnetite that cuts footwall; 60% massive magnetite, 30% chalcopyrite, 10% pyrrhotite",1.33,0.5,40.7,0.3,0.15,0.07,-0.01,,,0.03,,38.0,-30.0,-1.0,MS_AZ_HF,,394.0,-5.0,12.8,7.8,19.0,327.0,-10.0,0.1,50000.11111,0.23,0.1,0.34,4.0,0.41,-1.0,-1.0,-0.05,0.9,10.3,-10.0,-0.05,-50.0,2.0,5.9,10000.11111,200.0,3.32,1.84,2.8,5.8,,0.5,-5.0,,0.8,23.0,147.0,-0.5,-0.05,,0.9,-0.5,-0.05,0.92,34.0,-10.0,1.0,-0.1,573.0,28.2
C400686,,,,RM0866,MRP14721,,,,Rare Metals Task,Critical and Rare Metals,9/2/2015,Mackay-Stanford Ore Deposits Collection,OD21157,North America,Canada,British Columbia,,Omineca,,Legate Creek mine,Omineca mining district,,Legate Creek mine,,54.75,-128.27,,,,,,"1) No coordinates; 2) Geodata.us/canada_names_maps/maps, loc of Legate Creek, M. Granitto",rock,Porphyry Cu-Mo-Au(?),Skarn Cu,"Cu-oxides ore; 40% massive chalcocite with malachite-azurite staining, inclusions of stibnite, sphalerite(?) in Ca, Al-silicate rock with barite inclusions",,,,,,,,,,,,,,1.0,MS_AZ_HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
