LAB_ID,PREVIOUS_LAB_ID1,PREVIOUS_LAB_ID2,PREVIOUS_LAB_ID3,FIELD_ID,JOB_ID,PREVIOUS_JOB_ID1,PREVIOUS_JOB_ID2,PREVIOUS_JOB_ID3,SUBMITTER,PROJECT_NAME,DATE_SUBMITTED,COLLECTION,COLLECTION_ID,CONTINENT,COUNTRY,STATE_PROVINCE,COUNTY,DISTRICT_NAME,DEPOSIT_NAME,MINE_NAME,DISTRICT_NAME_COLLECT,DEPOSIT_NAME_COLLECT,MINE_NAME_COLLECT,LOCATE_DESC,LATITUDE,LONGITUDE,DATUM,LATITUDE_COLLECT,LONGITUDE_COLLECT,DATUM_COLLECT,COORDINATES_QUAL,COORDINATES_SOURCE,PRIMARY_CLASS,SYSTEM_TYPE,DEPOSIT_TYPE,SAMPLE_DESC,Al_pct_AES_ST,Ca_pct_AES_ST,Fe_pct_AES_ST,K_pct_AES_ST,Mg_pct_AES_ST,Mn_pct_AES_ST,P_pct_AES_ST,S_pct_AES_ST,Si_pct_AES_ST,Ti_pct_AES_ST,F_pct_ISE_Fuse,Ag_ppm_MS_ST,As_ppm_MS_ST,Au_ppm,Au_AM,B_ppm_AES_ST,Ba_ppm_AES_ST,Be_ppm_AES_ST,Bi_ppm_MS_ST,Cd_ppm_MS_ST,Ce_ppm_MS_ST,Co_ppm_MS_ST,Cr_ppm_AES_ST,Cs_ppm_MS_ST,Cu_ppm_AES_ST,Dy_ppm_MS_ST,Er_ppm_MS_ST,Eu_ppm_MS_ST,Ga_ppm_MS_ST,Gd_ppm_MS_ST,Ge_ppm_MS_ST,Hf_ppm_MS_ST,Ho_ppm_MS_ST,In_ppm_MS_ST,La_ppm_MS_ST,Li_ppm_AES_ST,Lu_ppm_MS_ST,Mo_ppm_MS_ST,Nb_ppm_MS_ST,Nd_ppm_MS_ST,Ni_ppm_AES_ST,Pb_ppm_MS_ST,Pd_ppm_FA_MS,Pr_ppm_MS_ST,Pt_ppm_FA_MS,Rb_ppm_MS_ST,Re_ppm_MS_HF,Sb_ppm_MS_ST,Sc_ppm_AES_ST,Se_ppm_MS_ST,Sm_ppm_MS_ST,Sn_ppm_MS_ST,Sr_ppm_AES_ST,Ta_ppm_MS_ST,Tb_ppm_MS_ST,Te_ppm_MS_ST,Th_ppm_MS_ST,Tl_ppm_MS_ST,Tm_ppm_MS_ST,U_ppm_MS_ST,V_ppm_AES_ST,W_ppm_MS_ST,Y_ppm_MS_ST,Yb_ppm_MS_ST,Zn_ppm_AES_ST,Zr_ppm_AES_ST
C355417,,,,RM0001,MRP11968,,,,Rare Metals Task,Critical and Rare Metals,6/30/2011,Mackay-Keck Ore Deposits Collection,PHNC08_39_1183,North America,United States,Nevada,Lyon,Yerington,Pumpkin Hollow,Pumpkin Hollow,Yerington,,Pumpkin Hollow,,38.94021,-119.05178,WGS84,38.92492,-119.1071,,100 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10174173, ore body, M. Granitto",rock,IOA-IOCG,IOCG,Nearly solid chalcopyrite mixed with small light brown irregular inclusions of unknown mineralogy; clouds of magnetite throughout; highly magnetic,0.33,1.1,42.4,-0.1,0.57,0.02,-0.01,,,0.01,,58.0,-30.0,,,,-0.5,-5.0,1.5,3.6,0.4,209.0,-10.0,0.5,50000.11111,-0.05,-0.05,-0.05,5.0,-0.05,-1.0,-1.0,-0.05,6.4,0.2,-10.0,-0.05,-2.0,-1.0,0.2,144.0,23.0,,-0.05,,1.2,,1.2,-5.0,,-0.1,2.0,26.6,-0.5,-0.05,,0.2,-0.5,-0.05,0.3,51.0,-1.0,-0.5,-0.1,1290.0,3.8
C360759,,,,RM0027,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD21441,South America,Chile,Antofagasta,El Loa,Chuquicamata,,Chuquicamata mine,,,Chuquicamata,,-22.2871,-68.8991,WGS84,22.28944,-68.90111,WGS84,Exact,"1) Mindat.org, approx, A. Orkild-Norton; 2) Open-File Report 2017-1079 ID 549, mine, M. Granitto",rock,Porphyry Cu-Mo-Au,Supergene Cu,Chalcocite-bronchatite-antlerite(?); highly microfractured igneous rock with green copper sulfates coating microfractures,6.65,0.4,0.25,6.1,0.1,-0.01,0.01,,,0.11,,6.0,-30.0,,,,924.0,-5.0,3.6,-0.2,8.8,-0.5,-10.0,1.4,23300.0,0.32,0.22,0.14,15.0,0.45,5.0,4.0,0.07,-0.2,4.6,-10.0,-0.05,60.0,4.0,3.8,6.0,16.0,,1.09,,148.0,,2.4,-5.0,,0.6,3.0,114.0,-0.5,0.07,,9.7,0.5,-0.05,1.75,24.0,28.0,2.3,0.3,-5.0,133.0
C360762,,,,RM0030,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD22811,South America,Chile,Tarapacá,El Tamarugal,Collahuasi/Quebrada Blanca,,Collahuasi district,,,Poduosa mine,Level 25,-21.0309,-68.74951,WGS84,,,,,"1) No coordinates; 2) Mineral Resource Deposit Database Deposit ID 10057511, district, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,Bornite-chalcopyrite; mostly massive chalcopyrite with numerous inclusions of micro-chalcopyrite and widely scattered chrysocolla that filled in micro-cavities,0.46,-0.1,6.98,0.2,0.01,-0.01,0.05,,,-0.01,,468.0,90.0,,,,121.0,-5.0,190.0,0.9,16.3,1.3,-10.0,0.2,50000.11111,1.38,0.77,0.17,6.0,1.5,-1.0,-1.0,0.25,3.7,7.2,-10.0,0.08,3.0,-1.0,9.1,-5.0,188.0,,2.21,,7.1,,2.9,-5.0,,1.6,106.0,22.5,-0.5,0.23,,2.6,-0.5,0.08,0.63,-5.0,22.0,5.9,0.6,161.0,16.2
C360763,,,,RM0031,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD25716,Africa,South Africa,Transvaal,,,,,,,Messina Mines Ltd.,,-24.7,29.3,,,,,,"1) No coordinates; 2) Google Earth Pro, approx ctr of former province of Transvaal, M. Granitto",rock,IOA-IOCG,IOCG,"Massive chalcopyrite, IOCG in shear zone; mostly massive fine grain cuprite with widely distributed malachite throughout rock and on fractured surfaces; occasional chalcocite stringers",0.7,0.3,27.8,-0.1,0.33,-0.01,0.01,,,-0.01,,16.0,-30.0,,,,174.0,-5.0,0.4,-0.2,3.5,44.8,30.0,-0.1,50000.11111,0.37,0.23,0.1,3.0,0.39,-1.0,-1.0,0.07,0.2,1.7,-10.0,-0.05,2.0,-1.0,1.7,48.0,39.0,,0.46,,0.7,,0.3,-5.0,,0.4,-1.0,38.4,-0.5,-0.05,,0.2,-0.5,-0.05,34.8,493.0,11.0,1.9,0.2,29.0,19.1
C360769,,,,RM0037,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD31730,Europe,Finland,North Karelia,,,Outokumpu Cu-Co,Outokumpu Cu-Co deposit,,,Outokumpu mine,200 level,62.74842,29.00282,WGS84,62.72444,28.99167,WGS84,,"1) Mindat.org, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10069381, Outokumpu Cu-Co deposit, M. Granitto",rock,Porphyry Cu-Mo-Au,Skarn Cu,Tremolite skarn with chalcopyrite; thickly and widely scattered micro-chalcopyrite and micro-pyrrhotite in medium dark metamorphic rock; moderately magnetic,9.48,8.5,8.92,0.4,7.39,0.04,0.06,,,0.28,,21.0,50.0,,,,8100.0,-5.0,12.5,5.7,15.2,4.5,20.0,0.8,18600.0,2.65,1.63,0.42,52.0,2.9,3.0,5.0,0.53,0.5,5.5,30.0,0.22,14.0,9.0,9.5,24.0,546.0,,2.12,,5.2,,8.1,11.0,,2.6,3.0,284.0,-0.5,0.45,,2.6,-0.5,0.22,31.2,68.0,8.0,13.0,1.4,4480.0,150.0
C360780,,,,RM0048,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD14895,North America,United States,Arizona,Cochise,Cochise,,Republic mine,Cochise,,Republic,1400 level N8710 E9645 E drift,32.10012,-110.06506,WGS84,32.10111,-110.06472,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10103755, main entrance, M. Granitto",rock,Porphyry Cu-Mo-Au,Polymetallic skarn and replacement,"Banded ore in garnet; high % of sphalerite, some chalcopyrite, pyrite; there is no magnetite as reported on mineral sheet- it is sphalerite(proven by X-ray)",1.54,11.4,10.8,-0.1,2.15,0.79,0.43,,,0.24,,24.0,-30.0,,,,3.2,-5.0,5.0,447.0,104.0,92.2,20.0,10.6,50000.11111,7.43,3.98,1.5,19.0,8.29,8.0,13.0,1.49,26.7,40.8,20.0,0.64,6.0,13.0,41.7,26.0,6.0,,10.9,,3.4,,1.2,6.0,,8.1,19.0,5.3,0.9,1.29,,9.2,-0.5,0.67,10.6,20.0,223.0,38.5,4.0,50000.11111,414.0
C360781,,,,RM0049,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD43579,North America,United States,Arizona,Pima,Pima,,Mission mine,Pima district,,Mission mine,East fault vein,31.99229,-111.064199,WGS84,31.99175,-111.06315,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Deposit Database Site ID AZ00027, open pit mine symbol on map, M. Granitto; district from AZGS DI-23",rock,Porphyry Cu-Mo-Au,Polymetallic vein,Massive sulfide; east fault vein; chalcopyrite in quartz,5.32,10.8,14.3,1.6,0.36,0.48,0.22,,,0.52,,92.0,90.0,,,,251.0,-5.0,80.8,9.2,49.7,105.0,60.0,0.4,50000.11111,5.12,2.89,0.99,26.0,5.72,8.0,12.0,1.05,5.4,26.4,20.0,0.44,473.0,13.0,23.5,22.0,39.0,,5.98,,65.8,,3.7,15.0,,5.1,43.0,264.0,1.1,0.86,,37.7,-0.5,0.47,9.94,40.0,30.0,27.6,3.1,2260.0,369.0
C360782,,,,RM0050,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD28536,South America,Chile,Libertador General Bernando O'Higgins,Cachapoal,El Teniente,,El Teniente mine,,,El Teniente,Level 3,-34.0886,-70.4555,WGS84,-34.08861,-70.4625,WGS84,Exact,"1) Mindat.org, approx, A. Orkild-Norton; 2)Open-File Report 2017-1079 ID 600, mine, M. Granitto",rock,Porphyry Cu-Mo-Au,Cu sulfide,Andesite with chalcopyrite and anhydrite; chalcopyrite in anhydrite/quartz matrix,4.34,2.4,10.8,2.2,1.01,0.01,0.05,,,0.3,,12.0,-30.0,,,,234.0,-5.0,0.6,-0.2,28.3,45.5,40.0,2.8,50000.11111,1.56,0.78,0.66,17.0,2.42,1.0,2.0,0.28,0.4,13.3,20.0,0.11,69.0,1.0,14.9,23.0,-5.0,,3.5,,98.8,,0.3,10.0,,2.6,7.0,149.0,-0.5,0.27,,1.8,-0.5,0.1,1.64,159.0,83.0,8.2,0.7,62.0,49.6
C360783,,,,RM0051,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,YER5,North America,United States,Nevada,Lyon,Mason/Yerington,,Yerington mine,Yerington,,Yerington,"3875 level, 3875-162",38.98351,-119.19408,WGS84,39.11686,-119.63267,,10 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10149678, pit, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,"Stockwork; very fine grained pyrite, chalcopyrite, and bornite scattered throughout rock, some epidote, chlorite",5.31,1.1,1.93,1.5,0.85,-0.01,0.08,,,0.29,,10.0,-30.0,,,,361.0,-5.0,11.7,-0.2,15.8,8.0,20.0,0.6,21100.0,0.75,0.34,0.37,22.0,1.12,2.0,3.0,0.13,-0.2,7.7,-10.0,0.06,3.0,3.0,8.0,13.0,17.0,,2.06,,31.8,,0.3,5.0,,1.5,1.0,526.0,-0.5,0.13,,2.7,-0.5,-0.05,0.69,39.0,-1.0,4.1,0.4,31.0,87.3
C360784,,,,RM0052,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD16922,North America,United States,Arizona,Yavapai,Eureka,,Bagdad mine,Eureka,,Bagdad Copper Corp.,SW(?) end of pit,34.584346,-113.21008,WGS84,34.56974,-113.22992,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Deposit Database Site ID AZ00011, ctr of pit on imagery, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu-Mo,"Ore; sparse extremely fine grain pyrite, in highly altered diorite",7.9,0.9,3.21,3.9,0.88,0.02,0.07,,,0.25,,-1.0,-30.0,,,,995.0,-5.0,0.7,6.8,76.3,48.6,10.0,5.1,1610.0,4.12,2.17,1.14,27.0,4.88,2.0,6.0,0.74,-0.2,39.2,20.0,0.36,9.0,12.0,29.3,21.0,17.0,,8.54,,169.0,,1.5,6.0,,4.9,2.0,446.0,1.1,0.73,,13.7,0.9,0.36,15.4,61.0,37.0,21.1,2.3,39.0,178.0
C360786,,,,RM0054,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,JP205_05A,North America,United States,Utah,Salt Lake,Bingham,,Bingham Canyon mine,,,Bingham Canyon,,40.529973,-112.136459,WGS84,40.52222,-112.14861,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Deposit Database Site ID UT00011, ctr of pit on imagery, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu-Mo,"Granite porphyry w/molybdenite-quartz-chalcopyrite veinlets; biotite, covellite(?), chalcopyrite, fine grain sulfides; vuggy quartz vein, clay, molybdenite",7.68,0.4,1.13,8.2,2.67,-0.01,0.16,,,0.45,,-1.0,-30.0,,,,2840.0,-5.0,1.5,-0.2,74.2,4.0,130.0,2.9,741.0,2.51,1.33,1.25,31.0,3.7,2.0,6.0,0.45,-0.2,41.9,20.0,0.18,368.0,10.0,28.5,64.0,30.0,,8.26,,271.0,,0.2,14.0,,4.7,4.0,419.0,-0.5,0.49,,11.0,1.9,0.19,2.07,181.0,32.0,12.5,1.1,15.0,202.0
C360787,,,,RM0055,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD21422,South America,Chile,Antofagasta,El Loa,Chuquicamata,,Chuquicamata mine,,,Chuquicamata,Bench E-1,-22.2871,-68.8991,WGS84,22.28944,-68.90111,WGS84,Exact,"1) Mindat.org, approx, A. Orkild-Norton; 2) Open-File Report 2017-1079 ID 549, mine, M. Granitto",rock,Porphyry Cu-Mo-Au,Supergene Cu,"Cu oxides-chalcopyrite; sulfide portion is 100% pyrite, brilliant green staining is possibly chrysocolla or malachite(?) and is possibly of secondary origin not really related to the vein pyrite; dark green crystalline copper oxide(?)",2.63,-0.1,28.5,1.3,0.06,-0.01,0.03,,,0.07,,5.0,-30.0,,,,85.4,-5.0,1.3,-0.2,21.5,58.7,-10.0,0.2,11100.0,0.23,0.13,0.15,10.0,0.27,3.0,1.0,-0.05,-0.2,11.2,-10.0,-0.05,14.0,2.0,8.1,6.0,7.0,,2.54,,39.5,,0.4,-5.0,,0.8,6.0,115.0,-0.5,-0.05,,4.8,-0.5,-0.05,0.42,36.0,18.0,1.3,0.2,-5.0,36.0
C360788,,,,RM0056,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,JP205_02,North America,United States,Utah,Salt Lake,Bingham,,Bingham Canyon mine,,Bingham Canyon,"Bingham Canyon, south rim of pit",,40.529973,-112.136459,WGS84,40.52222,-112.14861,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Deposit Database Site ID UT00011, ctr of pit on imagery, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,"Granite w/pyrite-quartz veins and disseminations, pyrite much greater than chalcopyrite; phyllic zone; rock shot thru with pyrite, very fine grain, quartz",7.38,2.5,4.87,4.7,2.39,0.05,0.28,,,0.59,,-1.0,-30.0,,,,3220.0,-5.0,1.2,-0.2,272.0,24.9,90.0,4.0,401.0,4.36,1.9,2.9,23.0,7.97,2.0,11.0,0.74,-0.2,152.0,-10.0,0.23,5.0,19.0,92.3,58.0,58.0,,29.3,,164.0,,0.4,13.0,,12.0,6.0,1510.0,1.1,0.89,,47.1,1.9,0.25,9.31,155.0,7.0,18.4,1.6,55.0,362.0
C360789,,,,RM0057,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,MVHD,North America,United States,Nevada,Lyon,Yerington,,Mason Valley mine,Yerington,,Mason Valley mine,,38.94991,-119.22178,WGS84,38.9475,-119.21222,WGS84,10 m,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10222748, main entrance, M. Granitto",rock,Porphyry Cu-Mo-Au,Skarn Cu,"Hedenbergite-pyrite;fine-grained pyrite and chalcopyrite scattered throughout rock, greyish green Ca, Mg-silicate bladed and radiating, crystal blades hedenbergite",0.2,16.5,11.4,-0.1,5.33,0.21,-0.01,,,-0.01,,-1.0,-30.0,,,,1.4,-5.0,-0.1,-0.2,0.4,161.0,-10.0,0.3,4700.0,0.06,-0.05,-0.05,1.0,-0.05,2.0,-1.0,-0.05,-0.2,0.2,20.0,-0.05,4.0,-1.0,0.1,67.0,-5.0,,-0.05,,0.4,,0.6,-5.0,,-0.1,-1.0,63.9,-0.5,-0.05,,0.2,-0.5,-0.05,0.15,-5.0,-1.0,-0.5,-0.1,11.0,2.3
C360790,,,,RM0058,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,YER6_2,North America,United States,Nevada,Lyon,Mason/Yerington,,Yerington mine,Yerington,,Yerington,"3875 level, 3875-245",38.98351,-119.19408,WGS84,39.11686,-119.63267,,10 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10149678, pit, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,Thick chalcopyrite vein; chalcopyrite vein in rock,4.92,1.2,10.1,0.8,2.3,0.02,0.13,,,0.39,,5.0,-30.0,,,,150.0,-5.0,3.8,0.3,27.7,10.4,10.0,0.5,50000.11111,1.78,1.03,0.65,19.0,2.35,1.0,2.0,0.35,1.4,12.1,-10.0,0.14,-2.0,2.0,15.0,24.0,9.0,,3.73,,23.9,,0.5,9.0,,2.9,2.0,158.0,-0.5,0.33,,3.7,-0.5,0.16,1.01,144.0,4.0,9.1,0.9,55.0,50.6
C360791,,,,RM0059,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD28539,South America,Chile,Libertador General Bernando O'Higgins,Cachapoal,El Teniente,,El Teniente mine,,,El Teniente,Level 3,-34.0886,-70.4555,WGS84,-34.08861,-70.4625,WGS84,Exact,"1) Mindat.org, approx, A. Orkild-Norton; 2)Open-File Report 2017-1079 ID 600, mine, M. Granitto",rock,Porphyry Cu-Mo-Au,Cu sulfide,"Silicified andesite breccia tourmaline-quartz-chalcopyrite-anhydrite; heavily oxidized chalcopyrite, anhydrite/sulfide basically on one face of rock",8.35,4.0,2.46,3.9,1.17,-0.01,0.05,,,0.61,,-1.0,70.0,,,,486.0,-5.0,-0.1,-0.2,34.7,1.6,80.0,4.1,18900.0,2.29,1.35,0.7,15.0,2.94,2.0,4.0,0.47,-0.2,15.1,-10.0,0.2,21.0,3.0,17.2,18.0,13.0,,4.58,,133.0,,4.8,19.0,,3.1,4.0,334.0,-0.5,0.42,,6.0,0.7,0.22,2.05,190.0,95.0,11.5,1.4,25.0,105.0
C360792,,,,RM0060,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,YER3,North America,United States,Nevada,Lyon,Mason/Yerington,,Yerington mine,Yerington,,Yerington,"3875 level, 3875-237",38.98351,-119.19408,WGS84,39.11686,-119.63267,,10 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10149678, pit, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,"Stockwork veined quartz monzonite; very fine grained pyrite scattered throughout rock, stock work with dark sulfide veinlets",6.39,0.2,3.18,3.6,0.42,0.01,0.04,,,0.18,,-1.0,-30.0,,,,637.0,-5.0,2.9,-0.2,11.5,11.5,-10.0,2.3,4950.0,0.59,0.39,0.26,23.0,0.73,1.0,6.0,0.12,0.2,5.3,-10.0,0.08,4.0,2.0,5.3,14.0,9.0,,1.43,,99.4,,1.1,-5.0,,1.1,2.0,79.5,-0.5,0.09,,18.3,0.8,0.08,4.72,66.0,1.0,3.2,0.5,22.0,169.0
C360793,,,,RM0061,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,JP205_05B,North America,United States,Utah,Salt Lake,Bingham,,Bingham Canyon mine,,,Bingham Canyon,,40.529973,-112.136459,WGS84,40.52222,-112.14861,WGS84,,"1) Mindat.org, loc, A. Orkild-Norton; 2) Mineral Deposit Database Site ID UT00011, ctr of pit on imagery, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu-Mo,"Granite porphyry w/molybdenite-quartz-chalcopyrite veinlets; shot thru with pyrite, chalcopyrite, bornite(?); sulfide very fined grained; molybdenite in vuggy quartzite veinlet",7.31,1.0,1.85,5.6,2.38,-0.01,0.19,,,0.43,,2.0,30.0,,,,2330.0,-5.0,2.2,-0.2,189.0,8.1,100.0,3.7,2120.0,3.76,1.68,1.93,22.0,6.35,2.0,8.0,0.67,-0.2,106.0,20.0,0.24,770.0,16.0,64.8,51.0,14.0,,20.3,,204.0,,1.4,12.0,,9.1,2.0,546.0,0.9,0.75,,47.8,1.5,0.25,4.85,134.0,11.0,16.7,1.5,14.0,276.0
C360794,,,,RM0062,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD20001,North America,Mexico,Sonora,,Cananea,,La Colorada mine,Cananea,,La Colorada mine,,28.8008,-110.5696,WGS84,19.0887,-98.22573,,Exact,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) ; Open-File Report 2017-1069, 1129, mine, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu,"High-grade ore brecciated and cemented; chalcopyrite-bornite-covellite; heavily brecciated chalcopyrite/bornite fragments in matrix of hard clay, covellite alteration",10.6,0.2,6.68,4.6,0.01,-0.01,0.57,,,0.03,,171.0,80.0,,,,36.9,-5.0,199.0,-0.2,280.0,12.1,-10.0,0.6,50000.11111,19.2,3.84,4.39,7.0,17.5,2.0,-1.0,2.38,1.3,51.9,-10.0,0.25,3400.0,1.0,295.0,10.0,55.0,,68.8,,46.7,,2.2,38.0,,34.8,6.0,341.0,-0.5,2.3,,51.0,-0.5,0.41,1.45,160.0,2.0,33.6,1.8,63.0,1.4
C360795,,,,RM0063,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,STSG,North America,United States,Nevada,Douglas,Buckskin,,Minnesota mine,,,Standard Slag (Minnesota) mine,"Douglas Co., NV",39.068,-119.33489,WGS84,38.80261,-116.41939,,10 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10124858, pit, M. Granitto",rock,IOA-IOCG,Skarn Fe-Cu,"Standard slag of Minnesota mine; tarnished pyrite in almost 100% magnetite, massive granular",0.28,0.6,50.11111,-0.1,3.96,0.08,0.15,,,0.02,,1.0,-30.0,,,,-0.5,-5.0,1.5,-0.2,1.6,37.4,-10.0,0.7,1310.0,0.14,0.07,-0.05,9.0,0.09,1.0,-1.0,-0.05,-0.2,0.2,-10.0,-0.05,236.0,-1.0,0.7,26.0,-5.0,,0.18,,0.9,,0.5,-5.0,,0.1,-1.0,20.0,-0.5,-0.05,,0.8,-0.5,-0.05,0.93,71.0,3.0,1.0,-0.1,227.0,3.0
C360796,,,,RM0064,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD10808,North America,United States,Nevada,Lyon,Mason/Yerington,,Yerington mine,Yerington,,Yerington,,38.98351,-119.19408,WGS84,39.11686,-119.63267,,10 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10149678, pit, M. Granitto",rock,Porphyry Cu-Mo-Au,Supergene Cu,Ore; cuprite pods in massive malachite matrix,1.73,-0.1,0.38,0.4,0.06,-0.01,0.06,,,0.06,,7.0,-30.0,,,,117.0,-5.0,0.4,-0.2,18.5,-0.5,-10.0,0.6,50000.11111,0.81,0.3,0.76,5.0,1.59,-1.0,-1.0,0.12,-0.2,7.0,-10.0,-0.05,2.0,-1.0,12.4,9.0,-5.0,,2.74,,8.6,,1.6,-5.0,,2.2,-1.0,136.0,-0.5,0.18,,1.5,-0.5,-0.05,0.27,21.0,-1.0,2.6,0.3,-5.0,24.9
C360797,,,,RM0065,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Keck Ore Deposits Collection,GRASBERG1,Asia,Indonesia,Irian Jaya,,Irian Jaya,Ertsberg/Grasberg,Ertsberg/Grasberg ore body,Gunung Bijih,,Grasberg,"3975 level , main Grasberg Intrusion",4.08451,137.13229,WGS84,-4.07694,137.12389,WGS84,,"1) Mindat.org, approx; coordinates are the Gunung Bijih district, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10208264, ore body, M. Granitto",rock,Porphyry Cu-Mo-Au,Porphyry Cu-Au,"Sample of M-MGI, main Grasberg Intrusion, collected by Jon Price; pyrite in with abundant granular magnetite in quartz",1.59,0.1,19.2,1.2,0.12,0.05,-0.01,,,0.09,,5.0,-30.0,,,,76.0,-5.0,1.4,0.9,2.5,20.2,-10.0,0.3,24400.0,0.32,0.25,0.09,20.0,0.29,2.0,-1.0,0.08,0.5,1.3,-10.0,-0.05,4.0,1.0,1.2,7.0,41.0,,0.35,,22.4,,0.2,-5.0,,0.3,5.0,54.1,-0.5,-0.05,,0.9,-0.5,-0.05,0.19,193.0,-1.0,2.9,0.3,324.0,28.6
C360798,,,,RM0066,MRP12307,,,,Rare Metals Task,Critical and Rare Metals,8/31/2011,Mackay-Stanford Ore Deposits Collection,OD03673,North America,United States,Arizona,Cochise,Warren,,Gardner mine,Warren,,Gardner mine,9-8-53 stope,31.43234,-109.90705,WGS84,31.77917,-109.32056,,100 m,"1) iTouchMap.com, approx, A. Orkild-Norton; 2) Mineral Resource Deposit Database Deposit ID 10280339, main entrance, M. Granitto",rock,Porphyry Cu-Mo-Au,Polymetallic replacement,"Pyrite-chalcopyrite; extremely fine grain massive pyrite with occasional chalcopyrite inclusions, possibly 20% chalcopyrite",0.18,0.3,41.2,-0.1,0.04,0.05,0.01,,,-0.01,,54.0,30.0,,,,160.0,-5.0,118.0,0.3,1.4,-0.5,-10.0,-0.1,50000.11111,1.66,0.93,0.3,1.0,1.67,2.0,-1.0,0.33,7.7,0.6,-10.0,0.11,-2.0,-1.0,1.5,-5.0,39.0,,0.26,,1.0,,1.0,-5.0,,0.7,21.0,9.6,-0.5,0.3,,0.3,-0.5,0.11,21.7,-5.0,6.0,9.5,0.8,91.0,4.4
